交易所简码,股票代码,实际控制人,实际控制人控股比例
SH,600000,,
SH,600004,广东省人民政府,
SH,600006,国务院国有资产监督管理委员会,
SH,600007,"嘉里兴业有限公司,中国世贸投资有限公司",
SH,600008,北京市人民政府国有资产监督管理委员会,
SH,600009,上海市国有资产监督管理委员会,
SH,600010,内蒙古自治区人民政府,
SH,600011,国务院国有资产监督管理委员会,
SH,600012,安徽省国有资产监督管理委员会,
SH,600015,,
SH,600016,,
SH,600017,山东省人民政府国有资产监督管理委员会,
SH,600018,上海市国有资产监督管理委员会,
SH,600019,国务院国有资产监督管理委员会,
SH,600020,河南省人民政府,
SH,600021,国务院国有资产监督管理委员会,
SH,600022,山东省国有资产监督管理委员会,
SH,600023,浙江省人民政府国有资产监督管理委员会,
SH,600025,国务院国有资产监督管理委员会,
SH,600026,国务院国有资产监督管理委员会,
SH,600027,国务院国有资产监督管理委员会,
SH,600028,中国石油化工集团有限公司,67.2
SH,600029,国务院国有资产监督管理委员会,
SH,600030,,
SH,600031,梁稳根,2.78
SH,600032,浙江省人民政府国有资产监督管理委员会,
SH,600033,福建省人民政府国有资产监督管理委员会,
SH,600035,湖北省人民政府国有资产监督管理委员会,
SH,600036,,
SH,600037,中华人民共和国国务院,
SH,600038,中国航空工业集团有限公司,
SH,600039,四川省政府国有资产监督管理委员会,
SH,600048,中国保利集团有限公司,2.8
SH,600050,国务院国有资产监督管理委员会,
SH,600051,李水荣,
SH,600052,东阳市人民政府国有资产监督管理办公室,
SH,600053,"蔡蕾,覃正宇,吴强,吴刚,黄晓捷",
SH,600054,黄山市人民政府国有资产监督管理委员会,
SH,600055,何享健,
SH,600056,国务院国有资产监督管理委员会,
SH,600057,厦门市人民政府国有资产监督管理委员会,
SH,600058,中国五矿集团有限公司,
SH,600059,绍兴市人民政府国有资产监督管理委员会,
SH,600060,,
SH,600061,国务院国有资产监督管理委员会,
SH,600062,中国华润有限公司,
SH,600063,安徽省人民政府国有资产监督管理委员会,
SH,600064,南京市人民政府国有资产监督管理委员会,
SH,600066,汤玉祥,0.0693
SH,600067,"韩国龙,薛黎曦",
SH,600070,赵林中,
SH,600071,中国电子科技集团有限公司,
SH,600072,国务院国有资产监督管理委员会,
SH,600073,上海市国有资产监督管理委员会,
SH,600075,新疆生产建设兵团农八师国有资产监督管理委员会,
SH,600076,无锡市国有资产监督管理委员会,
SH,600077,俞建午,9.74
SH,600078,李星星,
SH,600079,艾路明,0.09
SH,600080,邢博越,19.63
SH,600081,东风汽车有限公司,
SH,600082,天津市人民政府,
SH,600083,苏州市姑苏区人民政府国有(集体)资产监督管理委员会,
SH,600084,,
SH,600085,北京市人民政府国有资产监督管理委员会,
SH,600088,中央广播电视总台,
SH,600089,张新,
SH,600094,俞培俤,0.58
SH,600095,黄伟,
SH,600096,云南省人民政府国有资产监督管理委员会,
SH,600097,上海市国有资产监督管理委员会,
SH,600098,广州市人民政府国有资产监督管理委员会,
SH,600099,国务院国有资产监督管理委员会,
SH,600100,国务院国有资产监督管理委员会,
SH,600101,国务院国有资产监督管理委员会,
SH,600103,福建省人民政府国有资产监督管理委员会,
SH,600104,上海市国有资产监督管理委员会,
SH,600105,"莫林弟,莫思铭",
SH,600106,,
SH,600107,郑继平,
SH,600108,甘肃省人民政府国有资产监督管理委员会,
SH,600109,陈金霞,
SH,600110,陈立志,
SH,600111,内蒙古自治区人民政府,
SH,600112,,
SH,600113,温州市人民政府国有资产监督管理委员会,
SH,600114,,
SH,600115,国务院国有资产监督管理委员会,
SH,600116,国务院国有资产监督管理委员会,
SH,600117,青海省政府国有资产监督管理委员会,
SH,600118,中国航天科技集团有限公司,
SH,600119,上海市国有资产监督管理委员会,
SH,600120,浙江省人民政府国有资产监督管理委员会,
SH,600121,河南省人民政府国有资产监督管理委员会,
SH,600122,袁亚非,
SH,600123,晋城市工业和信息化局(国有资产监督管理委员会),
SH,600125,中国国家铁路集团有限公司,
SH,600126,浙江省人民政府国有资产监督管理委员会,
SH,600127,湖南省人民政府国有资产监督管理委员会,
SH,600128,江苏省人民政府国有资产监督管理委员会,
SH,600129,中国医药集团有限公司,
SH,600130,徐立华,
SH,600131,国务院国有资产监督管理委员会,
SH,600132,嘉士伯基金会,
SH,600133,湖北省人民政府国有资产监督管理委员会,
SH,600135,中国航天科技集团有限公司,
SH,600136,武汉市人民政府国有资产监督管理委员会,
SH,600137,"翁关荣,翁荣金,翁荣弟",
SH,600138,中华人民共和国国务院,
SH,600141,兴山县政府国有资产监督管理局,
SH,600143,袁志敏,19.21
SH,600148,中国兵器工业集团有限公司,
SH,600149,廊坊市人民政府国有资产监督管理委员会,
SH,600150,国务院国有资产监督管理委员会,
SH,600151,中国航天科技集团有限公司,
SH,600152,何承命,0.41
SH,600153,厦门市人民政府国有资产监督管理委员会,
SH,600155,,
SH,600156,湖南省国有资产管理委员会,
SH,600157,王广西,
SH,600158,国家体育总局,
SH,600159,北京市顺义区人民政府国有资产监督管理委员会,
SH,600160,浙江省人民政府国有资产监督管理委员会,
SH,600161,中国医药集团有限公司,
SH,600162,"翟美卿,深圳市金海马实业股份有限公司,刘志强",21.82
SH,600163,福建省人民政府国有资产监督管理委员会,
SH,600165,虞建明,
SH,600166,北京市人民政府国有资产监督管理委员会,
SH,600167,"苏冠荣,苏壮强,苏壮奇,苏武雄,苏素玉",
SH,600168,武汉市人民政府国有资产监督管理委员会,
SH,600169,山西省国有资产监督管理委员会,
SH,600170,上海市国有资产监督管理委员会,
SH,600171,中国电子信息产业集团有限公司,
SH,600172,乔秋生,2.18
SH,600173,陈建成,
SH,600176,中国建材集团有限公司,
SH,600177,李如成,2.77
SH,600178,中国兵器装备集团有限公司,
SH,600179,,
SH,600180,万永兴,2.97
SH,600182,"陈应毅,林美凤,林振伟",
SH,600183,,
SH,600184,中国兵器工业集团有限公司,
SH,600185,珠海市人民政府国有资产监督管理委员会,
SH,600186,李厚文,
SH,600187,姜照柏,6.2
SH,600188,山东省人民政府国有资产监督管理委员会,
SH,600189,吉林省人民政府国有资产监督管理委员会,
SH,600190,,
SH,600191,张文国,
SH,600192,甘肃省人民政府国有资产监督管理委员会,
SH,600193,余增云,
SH,600195,中国农业发展集团有限公司,
SH,600196,郭广昌,
SH,600197,新疆可克达拉市国有资本投资运营有限责任公司,
SH,600198,国务院国有资产监督管理委员会,
SH,600199,阜阳市人民政府国有资产监督管理委员会,
SH,600200,钱群英,
SH,600201,,
SH,600202,哈尔滨市人民政府国有资产监督管理委员会,
SH,600203,福建省电子信息(集团)有限责任公司,11.97
SH,600206,国务院国有资产监督管理委员会,
SH,600207,河南省财政厅,
SH,600208,黄伟,16.86
SH,600210,沈雯,0.4
SH,600211,林刚,
SH,600212,徐益明,
SH,600213,山东重工集团有限公司,
SH,600215,"陈爱莲,吴锦华",1.75
SH,600216,李春波,
SH,600217,中国供销集团有限公司,
SH,600218,全椒县人民政府,
SH,600219,龙口市东江街道南山村村民委员会,
SH,600220,陆克平,
